tx_id,order_id,user_id,timestamp,merchant_id,merchant_name,crypto_asset,fiat_currency,fiat_volume_cad,tx_status,payment_channel,decline_reason,processor_code,flat_fee_cad,spread_income_cad,flow_direction,risk_score,aml_flag,ip_country,velocity_1h,is_high_risk,order_created_at,channel_selected_at,kyc_passed_at,payment_completed_at,settled_at,provider_amount_cad,ledger_amount_cad,recon_delta_cad,recon_status,latency_ms,settlement_latency_min
TX-20260601-0061,ORD-20260601-0061,U00573,2026-06-01T04:06:18Z,M1019,Merchant 1019,USDC,CAD,176.43,Completed,Crypto Network,,APPROVED,1.1,0.21,Inflow,60.25,False,CA,5,False,2026-06-01T03:27:19Z,2026-06-01T03:37:12Z,2026-06-01T03:40:21Z,2026-06-01T04:06:18Z,2026-06-01T04:33:18Z,176.43,176.43,0.0,Matched,607,27
TX-20260601-0006,ORD-20260601-0006,U00705,2026-06-01T04:07:49Z,M1008,Merchant 1008,USDC,CAD,799.4,Completed,Interac e-Transfer,,APPROVED,1.97,0.96,Inflow,66.97,False,CA,1,False,2026-06-01T04:00:34Z,2026-06-01T04:07:15Z,2026-06-01T04:17:25Z,2026-06-01T04:07:49Z,2026-06-01T04:27:49Z,799.4,799.4,0.0,Matched,451,20
TX-20260601-0005,ORD-20260601-0005,U00656,2026-06-01T04:07:52Z,M1017,Merchant 1017,USDC,USD,291.84,Completed,Interac e-Transfer,,APPROVED,1.26,0.35,Outflow,66.99,False,CA,4,False,2026-06-01T03:09:01Z,2026-06-01T03:11:48Z,2026-06-01T03:25:10Z,2026-06-01T04:07:52Z,2026-06-01T04:29:52Z,291.84,291.84,0.0,Matched,490,22
TX-20260601-0049,ORD-20260601-0049,U00406,2026-06-01T04:22:40Z,M1009,Merchant 1009,USDC,CAD,47.25,Completed,Card,,APPROVED,0.92,0.06,Outflow,52.85,False,US,5,False,2026-06-01T03:24:27Z,2026-06-01T03:30:46Z,2026-06-01T03:51:53Z,2026-06-01T04:22:40Z,2026-06-01T04:39:40Z,47.25,47.25,0.0,Matched,230,17
TX-20260601-0004,ORD-20260601-0004,U00069,2026-06-01T04:52:04Z,M1014,Merchant 1014,USDC,USD,264.1,Completed,Wire Transfer,,APPROVED,1.22,0.32,Inflow,53.8,False,HK,1,False,2026-06-01T03:50:22Z,2026-06-01T03:52:17Z,2026-06-01T04:08:01Z,2026-06-01T04:52:04Z,2026-06-01T05:03:04Z,264.1,264.1,0.0,Matched,536,11
TX-20260601-0030,ORD-20260601-0030,U00257,2026-06-01T04:57:49Z,M1002,Merchant 1002,USDC,USD,312.74,Completed,Wire Transfer,,APPROVED,1.29,0.38,Inflow,44.05,False,CA,1,False,2026-06-01T04:45:26Z,2026-06-01T04:46:23Z,2026-06-01T05:07:58Z,2026-06-01T04:57:49Z,2026-06-01T05:12:49Z,312.74,312.74,0.0,Matched,218,15
TX-20260601-0062,ORD-20260601-0062,U00223,2026-06-01T05:00:59Z,M1013,Merchant 1013,USDC,CAD,272.99,Completed,Crypto Network,,APPROVED,1.23,0.33,Outflow,66.93,False,CA,3,False,2026-06-01T04:45:19Z,2026-06-01T04:47:17Z,,2026-06-01T05:00:59Z,2026-06-01T05:13:59Z,272.99,272.99,0.0,Matched,307,13
TX-20260601-0008,ORD-20260601-0008,U00324,2026-06-01T05:14:23Z,M1015,Merchant 1015,USDC,USD,352.97,Completed,Wire Transfer,,APPROVED,1.34,0.42,Outflow,52.09,False,CA,3,False,2026-06-01T04:22:09Z,,,2026-06-01T05:14:23Z,2026-06-01T06:05:23Z,352.97,352.97,0.0,Matched,339,51
TX-20260601-0047,ORD-20260601-0047,U00153,2026-06-01T05:16:21Z,M1018,Merchant 1018,BTC,USD,169.16,Pending,Interac e-Transfer,,PENDING,0.0,0.0,Outflow,54.94,False,SG,2,False,2026-06-01T04:26:44Z,2026-06-01T04:32:06Z,,,,169.16,169.16,0.0,Matched,791,
TX-20260601-0058,ORD-20260601-0058,U00053,2026-06-01T05:18:28Z,M1003,Merchant 1003,ETH,CAD,132.22,Completed,Interac e-Transfer,,APPROVED,1.04,0.28,Inflow,80.82,False,NG,1,False,2026-06-01T04:48:27Z,2026-06-01T04:53:26Z,2026-06-01T04:56:36Z,2026-06-01T05:18:28Z,2026-06-01T05:39:28Z,132.22,132.22,0.0,Matched,258,21
